name,address,address_google,location_type,pnt,
"Palmyra Farm Cheese, LLC","18811 Wagaman Road, Hagerstown, MD, 21740","18811 Wagaman Rd, Hagerstown, MD 21740, USA",ROOFTOP,c(-77.715468, 39.588431)
Mountain Fresh Farmers' Market - Oakland,"Town Park Lane at South 1st Street, Oakland, MD, 21550","Town Park Ln & S 1st St, Oakland, MD 21550, USA",GEOMETRIC_CENTER,c(-79.4097386, 39.4083114)
Karl's Farm,"5550 Stuckey Road, Pisgah, MD, 20640","5550 Stuckey Rd, Pisgah, MD 20640, USA",ROOFTOP,c(-77.119757, 38.543296)
Miller Farms,"10140 Piscataway Rd, Clinton, MD, 20735","10140 Piscataway Rd, Clinton, MD 20735, USA",ROOFTOP,c(-76.926081, 38.749152)
growingSOUL,"10409 Naglee Road, Silver Spring, MD, 20903","10409 Naglee Rd, Silver Spring, MD 20903, USA",ROOFTOP,c(-76.9828252, 39.0267342)
Hills Forest Fruit Farm,"6624 Mount Vista Road, Kingsville, MD, 20187","6624 Mt Vista Rd, Kingsville, MD 21087, USA",ROOFTOP,c(-76.4414988, 39.4534265)
Hard Bargain Farm,"2001 bryan point road, accokeek, MD, 20607","2001 Bryan Point Rd, Accokeek, MD 20607, USA",ROOFTOP,c(-77.0426559, 38.686954)
"Green Farm Produce, Naturals & Meats","200 Green Farm Lane, Centreville, MD, 21617","200 Green Farm Ln, Centreville, MD 21617, USA",ROOFTOP,c(-76.065971, 39.082649)
Harley Farm,"6201 Harley Rd, Middletown, MD, 21769","6201 Harley Rd, Middletown, MD 21769, USA",ROOFTOP,c(-77.5780168, 39.4012885)
Harman's Farm Market,"2633 Churchville Rd, Churchville, MD, 21028","2633 Churchville Rd, Churchville, MD 21028, USA",GEOMETRIC_CENTER,c(-76.2620325, 39.5549298)
Catoctin Mountain Farm,"Sabillasville, MD 21780","Sabillasville, MD 21780, USA",APPROXIMATE,c(-77.4560092, 39.7003209)
White House Farm,"11154 Augustine Herman Highway, Chestertown, MD, 21620","11154 Augustine Herman Hwy, Chestertown, MD 21620, USA",ROOFTOP,c(-76.020871, 39.283588)
"Ritter Farm, LLC.","565 River Road Sykesville, MD 21784","565 River Rd, Sykesville, MD 21784, USA",ROOFTOP,c(-76.954104, 39.3563753)
DNR Farmers' Market,"MD Department of Natural Resources 580 Taylor Avenue, Annapolis, MD, 21401","580 Taylor Ave, Annapolis, MD 21401, USA",ROOFTOP,c(-76.5036455, 38.9853814)
Red Tree Farmstead,"4725 Port Tobacco Rd Nanjemoy, MD 20662","4725 Port Tobacco Rd, Nanjemoy, MD 20662, USA",ROOFTOP,c(-77.22439, 38.474938)
"Victory Garden Ranch, Veterans Growing Together","101 West Main Street, P.O. Box 22 Sharpsburg, MD 21782","101 W Main St, Sharpsburg, MD 21782, USA",ROOFTOP,c(-77.7489857, 39.4583638)
Tripple Springs Farm,"13300 Baden Westwood Road Brandywine, MD 20613","13300 Baden Westwood Rd, Brandywine, MD 20613, USA",ROOFTOP,c(-76.775632, 38.660644)
Evans Hill Farm,"28524 Woodview Drive Damascus, Md. 20872","28524 Woodview Dr, Damascus, MD 20872, USA",ROOFTOP,c(-77.2312, 39.324918)
Spiritual Food CSA,"4217 East West Highway, Bethesda, MD, 20814","4217 E W Hwy, Bethesda, MD 20814, USA",ROOFTOP,c(-77.0858922, 38.9865325)
Sycamore Spring Farm,"6003 Elmer Derr Rd, Frederick, MD, 21703","6003 Elmer Derr Rd, Frederick, MD 21703, USA",ROOFTOP,c(-77.459994, 39.375436)
"Thomas L. Reynolds, LLC - Farmer Tom's","427 Cockeys Mill Road, Reisterstown, MD, 21136","427 Cockeys Mill Rd, Reisterstown, MD 21136, USA",ROOFTOP,c(-76.84723, 39.462089)
"Central Farm Markets - Saturday ""Pike Central""",5992 Executive Blvd,"5992 Executive Blvd, North Bethesda, MD 20852, USA",ROOFTOP,c(-77.1183367, 39.0475919)
Evermore Farm,"150 Rockland Road, Westminster, MD, 21158","150 Rockland Rd, Westminster, MD 21158, USA",ROOFTOP,c(-77.0387738, 39.5814826)
Holiday Memories Farm,"4848 Muddy Creek Rd. West River, MD 20778","4848 Muddy Creek Rd, West River, MD 20778, USA",ROOFTOP,c(-76.5631499, 38.841809)
50 Shades Of Flowers,"4024 Main St, Grasonville, MD 21638, USA","4024 Main St, Grasonville, MD 21638, USA",ROOFTOP,c(-76.215532, 38.959133)
Muddy Acres Farm,4309 Cooper Rd Whiteford MD 21160,"4309 Cooper Rd, Whiteford, MD 21160, USA",ROOFTOP,c(-76.2828444, 39.7054378)
Truffula Seed Produce,"2732 Old New Windsor Pike, New Windsor, MD, 21776","2732 Old New Windsor Pike, New Windsor, MD 21776, USA",ROOFTOP,c(-77.0962629, 39.545628)
Reisterstown Farmers Market,"120 Main Street, Reisterstown, MD 21136","120 Main St, Reisterstown, MD 21136, USA",ROOFTOP,c(-76.8299472, 39.4657708)
Shagbark Mountain Cattle,"2725 Kaetzel Road, Knoxville, MD, 21758","2725 Kaetzel Rd, Knoxville, MD 21758, USA",ROOFTOP,c(-77.679101, 39.390014)
Catoctin Mt. Orchard,"15036 North Franklinville Road, Thurmont, MD, 21788-1128","15036 N Franklinville Rd, Thurmont, MD 21788, USA",GEOMETRIC_CENTER,c(-77.3947932, 39.6484031)
Whistle Punk Farm LLC,"4439 Chestnut Grove Road Keedysville, MD 21756","4439 Chestnut Grove Rd, Keedysville, MD 21756, USA",ROOFTOP,c(-77.683306, 39.436421)
Sugarloaf Sustainable Farms,26140 Ridge Road Damascus MD 20872,"26140 Ridge Rd, Damascus, MD 20872, USA",ROOFTOP,c(-77.2087075, 39.2868967)
Apocalypse Farm,"Street, Maryland","Street, MD 21154, USA",APPROXIMATE,c(-76.3794051, 39.6689941)
Cross Farms,9933 Pitts Road Berlin Maryland 21811,"9933 Pitts Rd, Berlin, MD 21811, USA",ROOFTOP,c(-75.228325, 38.393379)
Oakley's Farm Market,"27466 U.S. 50 Ocean Gateway, Hebron, MD, 21830","27466 Ocean Gateway, Hebron, MD 21830, USA",ROOFTOP,c(-75.6591796, 38.4154968)
Garden Fence Farm,"101 Cherry Hill Rd Street, MD 21154","101 Cherry Hill Rd, Street, MD 21154, USA",ROOFTOP,c(-76.3956913, 39.6241196)
"Buppert's Doran's Chance Farm, Inc.","7102 Brangles Road, Marriottsville, MD, 21104","7102 Brangels Rd, Marriottsville, MD 21104, USA",ROOFTOP,c(-76.925571, 39.3794824)
Bird's Eye View Farm,"2909 Byrd Road, Pocomoke City, MD, 21851","2909 Byrd Rd, Pocomoke City, MD 21851, USA",ROOFTOP,c(-75.5247459, 38.078197)
P.A. Bowen Farmstead,"15701 Dr Bowen Road, Brandywine, MD, 20613","15701 Dr Bowen Rd, Brandywine, MD 20613, USA",ROOFTOP,c(-76.7356937, 38.5880928)
Adkins Farm Market,"31493 Mt. Herman Road, Salisbury, MD, 21801","31493 Mt Hermon Rd, Salisbury, MD 21804, USA",GEOMETRIC_CENTER,c(-75.520664, 38.3531976)
Karma.farm,"16345 Old York Road, Monkton, MD, 21111","16345 Old York Rd, Monkton, MD 21111, USA",ROOFTOP,c(-76.557149, 39.572678)
Backbone Food Farm,"530 Lynndale Rd Oakland, MD 21550","530 Lynndale Rd, Oakland, MD 21550, USA",ROOFTOP,c(-79.3845829, 39.3447026)
